input,intent
Are there any complications or notes associated with my past surgeries?,surgery
I need details on the vaccinations mentioned in my patient summary.,vaccination
What should I be aware of regarding seasonal allergies and are there any specific triggers I need to avoid?,allergies
Please share details about any significant illnesses documented in my patient history.,illness_history
surgeries,surgery
Can you give me a breakdown of the surgical treatments mentioned in my patient history?,surgery
Do I have any surgeries in my history?,surgery
Tell me about the current medical issues mentioned in my health records.,current_problems
I want to understand the reasons behind my past surgeries. Can you provide insights?,surgery
Give me a summary of vaccinations recorded in my health records during my childhood.,vaccination
Do I have any allergies?,allergies
Can you provide information on any recent episodes of infectious diseases in my medical history?,current_problems
Let me know if there are upcoming vaccinations based on my medical history.,vaccination
Can you list the ongoing health problems that are documented in my health history?,current_problems
I'm interested in knowing about any surgeries related to past illnesses in my health summary.,illness_history
I'm interested in knowing about any surgeries related to past illnesses or conditions in my health summary.,illness_history
Provide a summary of my existing health issues based on my patient records.,current_problems
How's everything going?,feeling
allergy,allergies
Provide details on the current state of my reproductive health recorded in my health history.,current_problems
How are you doing?,feeling
What functionalities should I expect from your chatbot?,info
Give me a summary of my current health problems documented in my patient history.,current_problems
Hiya!,hello
Can you inform me about any food intolerances that are listed in my medical records?,intolerances
What should I be cautious about in terms of allergies and sensitivities?,allergies
Could you list any known drug allergies in my medical history?,allergies
Please share details about any allergies I may have to insect bites or stings.,allergies
I'm interested in knowing if there are any food allergies mentioned in my medical history. Can you give me details?,allergies
What surgeries have I undergone in the past?,surgery
Are there specific medical devices or implants that I should be aware of? Please provide details.,implants
"I'd like to review my medical record regarding surgeries, how can I access that information?",surgery
What information do you have about implants in my patient history?,implants
Tell me about any elective surgeries I've undergone in the past.,surgery
Please give me details about any known intolerances in my medical records.,intolerances
Share any information on surgical complications or issues recorded in my medical history.,surgery
Are there any recommended vaccines in my patient records that I haven't received yet?,vaccination
I'm curious about my present health condition. Can you share specifics from my health summary?,current_problems
Please provide information on any documented implants in my health records.,implants
Tell me about any chronic conditions documented in my patient history.,illness_history
I'm interested in knowing if there are any current prescriptions mentioned in my medical history. Can you give me details?,prescription
Could you give me information on my pet allergies and how they may affect my health?,allergies
Tell me about any major surgeries I've undergone.,surgery
Tell me about the current status of my cardiovascular health mentioned in my health summary.,current_problems
What information do you have about food allergies in my patient history?,allergies
I want to be aware of any drug allergies listed in my health history. Can you provide that information?,allergies
Tell me about the vaccinations administered in the past year according to my medical records.,vaccination
surgeries,surgery
Can you provide specifics on any past injuries documented in my patient history?,illness_history
I'm curious about vaccination recommendations. Can you provide guidance from my health summary?,vaccination
I'm curious about my past illnesses. Can you share specifics from my health summary?,illness_history
Greetings!,hello
Could you list any known food allergies in my medical history?,allergies
Could you list the surgical procedures I've had?,surgery
Please provide information on any documented e-prescriptions in my health records.,prescription
Tell me about the routine vaccinations listed in my health records.,vaccination
Are there specific medications that I should avoid due to allergies? Please provide details.,allergies
Could you list the current prescriptions in my patient records?,prescription
Can you provide information on my ongoing health concerns?,current_problems
Explain the skill set of your chatbot.,info
What do my medical records say about my past surgeries and their success rates?,surgery
What's up?,hello
Please provide information on any documented current prescriptions in my health records.,prescription
Hi!,hello
How are you holding up?,feeling
What kind of tasks can I assign to your chatbot?,info
Give me an update on the history of neurological illnesses in my medical records.,illness_history
I'd like to review the details of my surgical history. Can you assist with that?,surgery
I would like to know if there are any documented intolerances in my health records. Can you share that information?,intolerances
Give me an update on my current musculoskeletal issues based on my medical records.,current_problems
How are things on your end?,feeling
How's everything on your side of the fence?,feeling
Could you share any information about e-prescriptions that may be present in my medical records?,prescription
Tell me about any environmental allergies I might have.,allergies
Tell me about any instances of allergies or intolerances recorded in my health summary.,illness_history
Give me an update on the history of mental health diagnoses mentioned in my health records.,illness_history
Tell me about any instances of COVID-19 vaccination in my medical records.,vaccination
What are the active health concerns mentioned in my patient profile?,current_problems
What specific ailments or conditions are currently noted in my medical history?,current_problems
What information do you have about drug allergies in my patient history?,allergies
I'm interested in learning about potential intolerances. What can you tell me?,intolerances
I'm interested in knowing about any recent surgeries or medical procedures related to my current health issues.,current_problems
What can you tell me about medications that are currently prescribed and documented in my patient history?,prescription
current problems,current_problems
Please give me details about any known current prescriptions in my medical records.,prescription
Please share details about any cardiovascular conditions recorded in my patient history.,illness_history
What are the existing health issues noted in my patient profile?,current_problems
I want to be aware of any food allergies listed in my health history. Can you provide that information?,allergies
Check if there are any past instances of skin conditions in my medical history.,illness_history
Are there any specific instructions related to my post-surgery care?,surgery
I want to be aware of any e-prescriptions listed in my health history. Can you provide that information?,prescription
Could you give me details on the surgical procedures I've experienced?,surgery
Please share details about any surgical procedures mentioned in my patient history.,surgery
How's everything in your world right now?,feeling
How are you fairing?,feeling
I'm interested in learning about my recent health problems. What information is available?,current_problems
I'm interested in learning about potential food allergies. What can you tell me?,allergies
Provide details on my current medications and health concerns recorded in my patient records.,current_problems
Please provide information on any documented food allergies in my health records.,allergies
What vaccines should I be aware of in my medical history considering my medical conditions?,vaccination
I need details about potential intolerances. What has been recorded in my health history?,intolerances
surgeries summary,surgery
Are there specific medical devices or implants I should be cautious about? Please elaborate.,implants
I'm planning to travel soon. Can you check if there are any required vaccinations in my patient summary?,vaccination
Let me know if there are any booster shots recommended in my patient records.,vaccination
I need details about potential food allergies. What has been recorded in my health history?,allergies
What can you tell me about allergies to food that are documented in my patient history?,allergies
Provide details on the chronic conditions listed in my patient history.,illness_history
Are there specific medications that I am currently taking? Please provide information on my current prescription.,prescription
What are the current health issues listed in my health records?,current_problems
Give me an update on my current mental health status based on my health records.,current_problems
illness history,illness_history
What are the major illnesses listed in my health records?,illness_history
Can you provide specifics on any recent injuries or health concerns documented in my patient history?,current_problems
Provide details about any past illnesses mentioned in my medical history.,illness_history
How are you managing these days?,feeling
I'm interested in knowing about the vaccination schedule outlined in my health summary.,vaccination
Tell me about any chronic conditions or ongoing illnesses mentioned in my health summary.,current_problems
What information do you have about intolerances in my patient history?,intolerances
I need details about my current prescription. What medications are currently prescribed for me?,prescription
I want to be aware of any intolerances listed in my health history. Can you provide that information?,intolerances
I would like to know if there are any documented food allergies in my health records. Can you share that information?,allergies
What medical records contain information about my surgeries?,surgery
Give me an overview of the vaccination history in my medical records.,vaccination
allergies,allergies
Could you share any information about food allergies that may be present in my medical records?,allergies
I need details about e-prescriptions mentioned in my patient history. What has been recorded in my health history?,prescription
What are the present health challenges recorded in my health summary?,current_problems
What vaccines have been documented in my patient history over the last five years?,vaccination
What are the core competencies of your chatbot?,info
Tell me about any instances of diabetes or related conditions in my medical history.,illness_history
Surgical procedures,surgery
Can you give me an overview of the history of illnesses recorded in my patient records?,illness_history
I need information on my current gastrointestinal health recorded in my patient records.,current_problems
What surgical interventions are currently listed in my patient records?,surgery
Can you provide information about any food allergies I may have?,allergies
Can you provide information about any drug allergies I may have?,allergies
What surgical interventions or procedures are part of my medical history?,surgery
Provide details on my current health problems recorded in my patient records.,current_problems
I'd like to know about my current health challenges. Please provide information from my records.,current_problems
Tell me about the functions your chatbot is equipped with.,info
I want information on the past episodes of respiratory infections mentioned in my health history. Can you help?,illness_history
I want to know if there are any upcoming vaccinations scheduled based on my medical records.,vaccination
